date,mb-xt,ie-xt,no-xt,pm-xt,sh-xt,wg-xt
2020-11-07,,,,,,
2020-11-08,,,,,,
2020-11-09,,,,,,
2020-11-10,,,,,,
2020-11-11,,,,,,
2020-11-12,,,,,,
2020-11-13,,,,,,
2020-11-14,,,,,,
2020-11-15,,,,,,
2020-11-16,,,,,,
2020-11-17,,,,,,
2020-11-18,,,,,,
2020-11-19,,,,,,
2020-11-20,,,,,,
2020-11-21,,,,,,
2020-11-22,,,,,,
2020-11-23,,,,,,
2020-11-24,,,,,,
2020-11-25,,,,,,
2020-11-26,,,,,,
2020-11-27,,,,,,
2020-11-28,,,,,,
2020-11-29,,,,,,
2020-11-30,,,,,,
2020-12-01,,,,,,
2020-12-02,,,,,,
2020-12-03,,,,,,
2020-12-04,,,,,,
2020-12-05,,,,,,
2020-12-06,,,,,,
2020-12-07,,,,,,
2020-12-08,,,,,,
2020-12-09,1,,,,,
2020-12-10,,,,,,
2020-12-11,,,,,,
2020-12-12,,,,,,
2020-12-13,,,,,,
2020-12-14,,,,,,
2020-12-15,2,,,,,
2020-12-16,304,,,,,
2020-12-17,601,,,,,
2020-12-18,903,,,,,
2020-12-19,,,,,,
2020-12-20,906,,,,,
2020-12-21,1209,,,,,
2020-12-22,1708,,,,,
2020-12-23,2201,,,,,
2020-12-24,,,,,,
2020-12-25,2202,,,,,
2020-12-26,2203,,,,,
2020-12-27,2204,,,,,
2020-12-28,2205,,,,,
2020-12-29,2670,,,,,
2020-12-30,3141,,,,,
2020-12-31,3485,,,,,
2021-01-01,3486,,,,,
2021-01-02,3488,,,,,
2021-01-03,,,,,,
2021-01-04,4359,,,,,
2021-01-05,5238,,,,,
2021-01-06,6117,,,,,
2021-01-07,7015,,,,,
2021-01-08,7922,,,,,
2021-01-09,8848,,,,,
2021-01-10,9766,,,,,
2021-01-11,10692,,,,,
2021-01-12,11454,,,,,
2021-01-13,12243,,,,,
2021-01-14,13807,,,,,
2021-01-15,15288,,,,,
2021-01-16,16503,,,,,
2021-01-17,17705,,,,,
2021-01-18,20179,,,,,
2021-01-19,22021,,,,,
2021-01-20,23383,,,,,
2021-01-21,25116,,,,,
2021-01-22,27027,,,,,
2021-01-23,27720,,,,,
2021-01-24,28257,,,,,
2021-01-25,29596,,,,,
2021-01-26,30851,,,,,
2021-01-27,31906,,,,,
2021-01-28,32960,,,,,
2021-01-29,33692,,,,,
2021-01-30,33763,,,,,
2021-01-31,33787,,,,,
2021-02-01,33992,,,,,
2021-02-02,34149,,,,,
2021-02-03,34420,,,,,
2021-02-04,34543,,,,,
2021-02-05,34643,,,,,
2021-02-06,34760,,,,,
2021-02-07,34799,,,,,
2021-02-08,35040,,,,,
2021-02-09,35171,,,,,
2021-02-10,35356,,,,,
2021-02-11,35651,,,,,
2021-02-12,35755,,,,,
2021-02-13,35888,,,,,
2021-02-14,35898,,,,,
2021-02-15,35923,,,,,
2021-02-16,36053,,,,,
2021-02-17,36200,,,,,
2021-02-18,36258,,,,,
2021-02-19,36521,,,,,
2021-02-20,37321,,,,,
2021-02-21,38195,,,,,
2021-02-22,39855,,,,,
2021-02-23,41354,,,,,
2021-02-24,42722,,,,,
2021-02-25,44424,,,,,
2021-02-26,46647,,,,,
2021-02-27,47960,,,,,
2021-02-28,49211,,,,,
2021-03-01,50892,,,,,
2021-03-02,52783,,,,,
2021-03-03,54878,,,,,
2021-03-04,57359,,,,,
2021-03-05,59624,,,,,
2021-03-06,61048,,,,,
2021-03-07,62276,,,,,
2021-03-08,64171,,,,,
2021-03-09,66423,,,,,
2021-03-10,68696,,,,,
2021-03-11,70575,,,,,
2021-03-12,72951,,,,,
2021-03-13,74442,,,,,
2021-03-14,75193,,,,,
2021-03-15,77503,,,,,
2021-03-16,81124,,,,,
2021-03-17,84858,,,,,
2021-03-18,89339,,,,,
2021-03-19,93304,,,,,
2021-03-20,95746,,,,,
2021-03-21,97124,,,,,
2021-03-22,101756,,,,,
2021-03-23,106737,,,,,
2021-03-24,111193,,,,,
2021-03-25,115396,,,,,
2021-03-26,121814,,,,,
2021-03-27,127227,,,,,
2021-03-28,132006,,,,,
2021-03-29,139546,,,,,
2021-03-30,147323,,,,,
2021-03-31,155402,,,,,
2021-04-01,163328,,,,,
2021-04-02,168570,,,,,
2021-04-03,174378,,,,,
2021-04-04,178695,,,,,
2021-04-05,183594,,,,,
2021-04-06,190390,,,,,
2021-04-07,198809,,,,,
2021-04-08,208842,,,,,
2021-04-09,217603,,,,,
2021-04-10,224357,,,,,
2021-04-11,230250,,,,,
2021-04-12,238164,,,,,
2021-04-13,247209,,,,,
2021-04-14,256786,,,,,
2021-04-15,266620,,,,,
2021-04-16,276580,,,,,
2021-04-17,284336,,,,,
2021-04-18,289756,,,,,
2021-04-19,298485,,,,,
2021-04-20,311751,,,,,
2021-04-21,326781,,,,,
2021-04-22,340404,,,,,
2021-04-23,355295,,,,,
2021-04-24,366120,,,,,
2021-04-25,371715,,,,,
2021-04-26,381458,,,,,
2021-04-27,390321,,,,,
2021-04-28,400619,,,,,
2021-04-29,410321,,,,,
2021-04-30,419335,,,,,
2021-05-01,426321,,,,,
2021-05-02,430573,,,,,
2021-05-03,437472,,,,,
2021-05-04,446122,,,,,
2021-05-05,455818,,,,,
2021-05-06,466272,,,,,
2021-05-07,477854,,,,,
2021-05-08,487874,,,,,
2021-05-09,497061,,,,,
2021-05-10,509903,,,,,
2021-05-11,524786,,,,,
2021-05-12,539050,,,,,
2021-05-13,552980,,,,,
2021-05-14,565977,,,,,
2021-05-15,577286,,,,,
2021-05-16,586045,,,,,
2021-05-17,596200,,,,,
2021-05-18,609145,,,,,
2021-05-19,622863,,,,,
2021-05-20,636720,,,,,
2021-05-21,648610,,,,,
2021-05-22,659368,,,,,
2021-05-23,670090,,,,,
2021-05-24,682300,,,,,
2021-05-25,697453,,,,,
2021-05-26,711470,,,,,
2021-05-27,723524,,,,,
2021-05-28,735162,,,,,
2021-05-29,743232,,,,,
2021-05-30,749514,,,,,
2021-05-31,756154,,,,,
2021-06-01,764926,,,,,
2021-06-02,773828,,,,,
2021-06-03,782762,,,,,
2021-06-04,791564,,,,,
2021-06-05,799461,,,,,
2021-06-06,805656,,,,,
2021-06-07,812807,,,,,
2021-06-08,818855,,,,,
2021-06-09,826010,,,,,
2021-06-10,832152,,,,,
2021-06-11,836839,,,,,
2021-06-12,841349,,,,,
2021-06-13,844783,,,,,
2021-06-14,847843,,,,,
2021-06-15,851711,,,,,
2021-06-16,855591,,,,,
2021-06-17,858221,,,,,
2021-06-18,860612,,,,,
2021-06-19,862136,,,,,
2021-06-20,863797,,,,,
2021-06-21,866011,,,,,
2021-06-22,868849,,,,,
2021-06-23,872272,,,,,
2021-06-24,875677,,,,,
2021-06-25,878711,,,,,
2021-06-26,881003,,,,,
2021-06-27,883235,,,,,
2021-06-28,887637,,,,,
2021-06-29,892590,,,,,
2021-06-30,897021,,,,,
2021-07-01,899057,,,,,
2021-07-02,902098,,,,,
2021-07-03,904868,,,,,
2021-07-04,906495,,,,,
2021-07-05,909166,,,,,
2021-07-06,911902,,,,,
2021-07-07,914835,,,,,
2021-07-08,917941,,,,,
2021-07-09,920412,,,,,
2021-07-10,921923,,,,,
2021-07-11,922787,,,,,
2021-07-12,924351,,,,,
2021-07-13,926486,,,,,
2021-07-14,929448,,,,,
2021-07-15,932370,,,,,
2021-07-16,934827,,,,,
2021-07-17,936291,,,,,
2021-07-18,936977,,,,,
2021-07-19,938490,,,,,
2021-07-20,940008,,,,,
2021-07-21,942062,,,,,
2021-07-22,943918,,,,,
2021-07-23,946403,,,,,
2021-07-24,948174,,,,,
2021-07-25,949452,,,,,
2021-07-26,951608,,,,,
2021-07-27,953812,,,,,
2021-07-28,956025,,,,,
2021-07-29,957854,,,,,
2021-07-30,960583,,,,,
2021-07-31,962552,,,,,
2021-08-01,962849,,,,,
2021-08-02,963285,,,,,
2021-08-03,963973,,,,,
2021-08-04,965279,,,,,
2021-08-05,966668,,,,,
2021-08-06,967535,,,,,
2021-08-07,968195,,,,,
2021-08-08,968528,,,,,
2021-08-09,969260,,,,,
2021-08-10,969969,,,,,
2021-08-11,970992,,,,,
2021-08-12,972118,,,,,
2021-08-13,972886,,,,,
2021-08-14,973439,,,,,
2021-08-15,973697,,,,,
2021-08-16,974261,,,,,
2021-08-17,974919,,,,,
2021-08-18,975774,,,,,
2021-08-19,976921,,,,,
2021-08-20,977587,,,,,
2021-08-21,978211,,,,,
2021-08-22,978530,,,,,
2021-08-23,979048,,,,,
2021-08-24,979799,,,,,
2021-08-25,980866,,,,,
2021-08-26,982233,,,,,
2021-08-27,983260,,,,,
2021-08-28,984470,,,,,
2021-08-29,985142,,,,,
2021-08-30,986143,,,,,
2021-08-31,987003,,,,,
